,stock,Name,Sector,important
0,A,Agilent Technologies,Health Care,0
1,AAL,American Airlines Group,Industrials,0
2,AAP,Advance Auto Parts,Consumer Discretionary,0
3,AAPL,Apple,Information Technology,1
4,ABBV,AbbVie,Health Care,0
5,ABC,AmerisourceBergen,Health Care,0
6,ABMD,Abiomed,Health Care,0
7,ABT,Abbott Laboratories,Health Care,0
8,ACN,Accenture,Information Technology,1
9,ADBE,Adobe,Information Technology,1
10,ADI,Analog Devices,Information Technology,1
11,ADM,ADM,Consumer Staples,0
12,ADP,Automatic Data Processing,Information Technology,1
13,ADSK,Autodesk,Information Technology,1
14,AEE,Ameren Corp,Utilities,0
15,AEP,American Electric Power,Utilities,0
16,AES,AES Corp,Utilities,0
17,AFL,Aflac,Financials,0
18,AIG,American International Group,Financials,0
19,AIZ,Assurant,Financials,0
20,AJG,Arthur J. Gallagher & Co.,Financials,0
21,AKAM,Akamai Technologies,Information Technology,1
22,ALB,Albemarle Corporation,Materials,0
23,ALGN,Align Technology,Health Care,0
24,ALK,Alaska Air Group,Industrials,0
25,ALL,Allstate Corp,Financials,0
26,AMAT,Applied Materials,Information Technology,1
27,AMCR,Amcor,Materials,0
28,AMD,Advanced Micro Devices,Information Technology,1
29,AME,Ametek,Industrials,0
30,AMGN,Amgen,Health Care,0
31,AMP,Ameriprise Financial,Financials,0
32,AMT,American Tower,Real Estate,0
33,AMZN,Amazon,Consumer Discretionary,0
34,ANSS,Ansys,Information Technology,1
35,AON,Aon,Financials,0
36,AOS,A. O. Smith,Industrials,0
37,APA,APA Corporation,Energy,0
38,APD,Air Products & Chemicals,Materials,0
39,APH,Amphenol,Information Technology,1
40,APTV,Aptiv,Consumer Discretionary,0
41,ARE,Alexandria Real Estate Equities,Real Estate,0
42,ATO,Atmos Energy,Utilities,0
43,ATVI,Activision Blizzard,Communication Services,0
44,AVB,AvalonBay Communities,Real Estate,0
45,AVGO,Broadcom,Information Technology,1
46,AVY,Avery Dennison,Materials,0
47,AWK,American Water Works,Utilities,0
48,AXP,American Express,Financials,0
49,AZO,AutoZone,Consumer Discretionary,0
50,BA,Boeing,Industrials,0
51,BAC,Bank of America,Financials,0
52,BAX,Baxter International,Health Care,0
53,BBWI,Bath & Body Works Inc.,Consumer Discretionary,0
54,BBY,Best Buy,Consumer Discretionary,0
55,BDX,Becton Dickinson,Health Care,0
56,BEN,Franklin Resources,Financials,0
57,BIIB,Biogen,Health Care,0
58,BIO,Bio-Rad Laboratories,Health Care,0
59,BK,BNY Mellon,Financials,0
60,BKNG,Booking Holdings,Consumer Discretionary,0
61,BKR,Baker Hughes,Energy,0
62,BLK,BlackRock,Financials,0
63,BMY,Bristol Myers Squibb,Health Care,0
64,BR,Broadridge Financial Solutions,Information Technology,1
65,BRO,Brown & Brown,Financials,0
66,BSX,Boston Scientific,Health Care,0
67,BWA,BorgWarner,Consumer Discretionary,0
68,BXP,Boston Properties,Real Estate,0
69,C,Citigroup,Financials,0
70,CAG,Conagra Brands,Consumer Staples,0
71,CAH,Cardinal Health,Health Care,0
72,CAT,Caterpillar,Industrials,0
73,CB,Chubb,Financials,0
74,CBOE,Cboe Global Markets,Financials,0
75,CBRE,CBRE,Real Estate,0
76,CCI,Crown Castle,Real Estate,0
77,CCL,Carnival Corporation,Consumer Discretionary,0
78,CDNS,Cadence Design Systems,Information Technology,1
79,CE,Celanese,Materials,0
80,CF,CF Industries,Materials,0
81,CHD,Church & Dwight,Consumer Staples,0
82,CHRW,C. H. Robinson,Industrials,0
83,CHTR,Charter Communications,Communication Services,0
84,CI,Cigna,Health Care,0
85,CINF,Cincinnati Financial,Financials,0
86,CL,Colgate-Palmolive,Consumer Staples,0
87,CLX,Clorox,Consumer Staples,0
88,CMA,Comerica,Financials,0
89,CMCSA,Comcast,Communication Services,0
90,CME,CME Group,Financials,0
91,CMG,Chipotle Mexican Grill,Consumer Discretionary,0
92,CMI,Cummins,Industrials,0
93,CMS,CMS Energy,Utilities,0
94,CNC,Centene Corporation,Health Care,0
95,CNP,CenterPoint Energy,Utilities,0
96,COF,Capital One Financial,Financials,0
97,COO,The Cooper Companies,Health Care,0
98,COP,ConocoPhillips,Energy,0
99,COST,Costco,Consumer Staples,0
100,CPB,Campbell Soup,Consumer Staples,0
101,CPRT,Copart,Industrials,0
102,CRL,Charles River Laboratories,Health Care,0
103,CRM,Salesforce,Information Technology,1
104,CSCO,Cisco Systems,Information Technology,1
105,CSX,CSX,Industrials,0
106,CTAS,Cintas Corporation,Industrials,0
107,CTRA,Coterra,Energy,0
108,CTSH,Cognizant Technology Solutions,Information Technology,1
109,CTXS,Citrix Systems,Information Technology,1
110,CVS,CVS Health,Health Care,0
111,CVX,Chevron Corporation,Energy,0
112,D,Dominion Energy,Utilities,0
113,DAL,Delta Air Lines,Industrials,0
114,DD,DuPont,Materials,0
115,DE,Deere & Co.,Industrials,0
116,DFS,Discover Financial Services,Financials,0
117,DG,Dollar General,Consumer Discretionary,0
118,DGX,Quest Diagnostics,Health Care,0
119,DHI,D. R. Horton,Consumer Discretionary,0
120,DHR,Danaher Corporation,Health Care,0
121,DIS,The Walt Disney Company,Communication Services,0
122,DISH,Dish Network,Communication Services,0
123,DLR,Digital Realty Trust,Real Estate,0
124,DLTR,Dollar Tree,Consumer Discretionary,0
125,DOV,Dover Corporation,Industrials,0
126,DPZ,Domino's Pizza,Consumer Discretionary,0
127,DRE,Duke Realty Corp,Real Estate,0
128,DRI,Darden Restaurants,Consumer Discretionary,0
129,DTE,DTE Energy,Utilities,0
130,DUK,Duke Energy,Utilities,0
131,DVA,DaVita,Health Care,0
132,DVN,Devon Energy,Energy,0
133,DXC,DXC Technology,Information Technology,1
134,DXCM,DexCom,Health Care,0
135,EA,Electronic Arts,Communication Services,0
